address,balance,tx_count,last_active,chain
0x86ead908fb5d6f900ff109c9e26f79300f99271a,114824109.99003409,61,2026-02-05T14:07:23,ethereum
0x000000000004444c5dc75cb358380d2e3de08a90,55630587.81435978,460,2026-02-06T15:36:59,ethereum
0x88ad09518695c6c3712ac10a214be5109a655671,42903669.460713044,333,2026-02-06T10:55:47,ethereum
0xdbc3088dfebc3cc6a84b0271dade2696db00af38,28078210.65774664,180,2026-02-04T01:58:23,ethereum
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,23622188.74901708,76,2026-02-02T20:43:59,ethereum
0x2ff064d951996c9fe70d6ba22d8684f37b2e24ec,14860506.768104384,22,2026-01-25T17:33:11,ethereum
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,13469900.490051512,1065,2026-02-06T15:34:47,ethereum
0x49f3847a3ae8b37e2d4e469aab3c5d64d54db860,10734572.367112484,1354,2026-02-06T15:36:59,ethereum
0x954d56851b597d27b245fd66e5bd48e0425d063f,7362819.75156916,62,2026-01-23T03:44:59,ethereum
0x9762c600a39bda3359f50a1fb1f90945cead379d,3555595.3025061507,628,2026-02-06T15:36:59,ethereum
0xe90d6144d31b90839d4d3018cb1fa2ddc9f16ed6,2112314.1484633954,17,2026-01-28T01:51:35,ethereum
0xef4f1d5007b4ff88c1a56261fec00264af6001fb,621230.4812255414,700,2026-02-06T15:36:59,ethereum
0x343fd171caf4f0287ae6b87d75a8964dc44516ab,617994.8636726046,3387,2026-02-06T15:36:59,ethereum
0xd4d2960e1e58a597723ae021cc811193f79153b1,566708.456953702,44,2026-02-06T05:29:35,ethereum
0x55122fdca4ba43294677d96c12ce76dabc459a2b,472994.28775234753,20,2026-02-01T08:01:59,ethereum
0x3e63ad407ee61d20f9d9462ab280da5d85b9a440,276389.8198948459,232,2026-02-06T15:36:59,ethereum
0xc2a04278ad502349e6aabb748a41abda9dfd18a9,68170.48000466861,217,2026-02-06T05:12:23,ethereum
0xd0bfbe394efa343740857060092966fbed0d1a61,65404.32207298358,29,2026-01-23T07:40:59,ethereum
0x9008d19f58aabd9ed0d60971565aa8510560ab41,24903.206557691472,453,2026-02-05T14:07:23,ethereum
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,8942.099858700483,31,2026-02-06T15:18:59,ethereum
0x90cbe4bdd538d6e9b379bff5fe72c3d67a521de5,6423.588670935536,36,2026-02-04T06:54:47,ethereum
0xea1b9447707fb3575972066b0906bc4cedb8027b,4625.495080147547,20,2025-12-04T14:41:23,ethereum
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,2707.447604555062,103,2025-12-26T20:01:23,ethereum
0x00700052c0608f670705380a4900e0a8080010cc,1864.0459742970254,64,2026-02-06T15:36:59,ethereum
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,1688.381335935854,52,2026-02-06T05:13:11,ethereum
0xabdc325419c2a84a79986c60ab7475d6c4e78b53,1008.6006059233945,19,2026-02-06T13:56:23,ethereum
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,798.6897331258375,21,2026-02-06T04:12:35,ethereum
0x00000688768803bbd44095770895ad27ad6b0d95,41.30330423790004,38,2026-02-02T07:00:59,ethereum
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0.9457559217478042,18,2026-01-10T08:08:47,ethereum
0x0eae044f00b0af300500f090ea00027097d03000,0.6227530914372791,40,2025-11-29T23:29:35,ethereum
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0.000844424930131968,568,2026-02-06T10:22:47,ethereum
0x0000000000007a8d56014359bf3e98f18b7773f9,0.000803625686729364,218,2026-02-06T05:12:23,ethereum
0x0708b29cfaba8e551c710991026c38e9179dce1e,5.16855764056e-07,44,2026-02-04T06:56:23,ethereum
0xfdff0b569f14af593d446e51b3e42f502124ac85,3.3391171298e-07,120,2026-02-06T10:55:47,ethereum
0x57a8ba49f6dbcce6c562c4ef4eff1846dfa92d97,3.3e-17,66,2025-12-02T12:48:35,ethereum
0x0000000000efa780a8e6f50fc5de9c1497bfd175,2.6e-17,50,2026-02-05T16:08:11,ethereum
0x00c600b30fb0400701010f4b080409018b9006e0,2.1e-17,113,2026-02-06T15:36:59,ethereum
0x3face0002c61054a67266aa0c8795e315e6d92f2,9e-18,18,2025-12-13T09:29:59,ethereum
0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,2e-18,24,2026-02-05T14:46:35,ethereum
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1e-18,454,2026-02-06T15:18:59,ethereum
0x6a000f20005980200259b80c5102003040001068,1e-18,350,2026-02-06T15:36:59,ethereum
0x49e55995ef73717895a638074de5af89fa1e301c,1e-18,66,2026-02-04T06:55:59,ethereum
0x1111111254eeb25477b68fb85ed929f73a960582,1e-18,26,2026-02-06T13:51:11,ethereum
0xd2b37ade14708bf18904047b1e31f8166d39612b,1e-18,27,2025-12-03T07:09:23,ethereum
0x540f6ae41ea8e62b92f3ab205ca13fee9290c678,5759988.19619538,852,2026-02-06T11:21:40,arbitrum
0x467d5bf8cfa1a5f99328fbdcb9c751c78934b725,3683454.642285963,42,2026-02-02T20:02:21,arbitrum
0x53f5eeb133b99c6e59108f35bcc7a116da50c5ce,2453112.1576972445,22,2026-02-02T23:14:06,arbitrum
0xdc657fac185d00cdfa34a8378bb87d586bf998f7,1818173.969576374,19,2026-02-02T23:32:22,arbitrum
0x0c120205a493ea0bbd71256073298ed2ba629338,1278424.9447796287,31,2026-02-02T20:54:12,arbitrum
0x991d2df165670b9cac3b022f4b68d65b664222ea,624825.1000000001,1035,2026-01-26T09:31:10,arbitrum
0x92881105e0d4c1569342d4fcc793f8a65609dc7f,94035.56495358862,27,2025-04-19T16:16:35,arbitrum
0x59828ba50050612d3edc24ea2d7973269def4edf,77447.85114880862,188,2025-11-06T03:12:18,arbitrum
0xf20edd94bc3ec20a23e27e5a99d4e67a4aab61d5,70687.25514320815,44,2025-07-21T04:54:02,arbitrum
0xaead6593710bf28bf4848b24f4ed1f130773d7e6,51911.920392855136,39,2026-01-28T23:27:24,arbitrum
0x001fe2cdbeeb0743679e958c0861dd8788b28b19,41518.18976436429,52,2025-11-23T04:04:43,arbitrum
0xfe4061e20d09eaa0ac210115538a9e32e4ad4e28,31366.477697381157,33,2025-06-22T06:08:25,arbitrum
0x6687c671980e65ebd722b9146fc61e2471558dd6,24486.509353613958,72,2025-10-30T02:25:11,arbitrum
0xd2c04f656448e78b178d6cc3b2ccf91de6ae7f39,19726.887848190385,28,2025-11-23T04:04:43,arbitrum
0x5114c9e5872ef18e714530da9000c50a4df38629,10777.5,22,2025-04-17T03:19:32,arbitrum
0x91e0346a89438c8084ab1827467d014c84b0f85a,5530.407937710556,34,2025-11-23T04:04:43,arbitrum
0xc68be4b0cf93ce27634ab4335870a31f3ce1ec73,5249.999999999999,17,2025-11-23T04:04:43,arbitrum
0xd05eb495d3839397ca087221e3667a0fa2a6c9bc,4900.420882473177,42,2025-11-15T07:36:30,arbitrum
0xd770fd297dfc5d3216d1561c398a2caba1acf9f6,4353.254888209191,33,2025-12-31T01:13:01,arbitrum
0xfac8e715704853cccbeebcb41d7fcb2354f878de,2499.927696540778,135,2026-01-21T23:50:15,arbitrum
0xf1c7c037891525e360c59f708739ac09a7670c59,2300.99581874932,41,2025-09-17T17:08:42,arbitrum
0x600072f956382cfd3cd4b059f2b713542bc68102,1400.23306212077,37,2025-11-15T08:48:24,arbitrum
0x5700f03f87db485fdb90e18b3100f00b235886f1,700.0,61,2025-12-27T19:29:37,arbitrum
0x89f30783108e2f9191db4a44ae2a516327c99575,285.36947958180974,134,2025-12-06T14:46:07,arbitrum
0x9008d19f58aabd9ed0d60971565aa8510560ab41,185.77147378404712,189,2026-02-06T11:21:40,arbitrum
0xc9534a59ef121516e5e1aead8d45d151e768e216,100.89218164219719,33,2025-11-15T07:36:30,arbitrum
0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,62.27414695743064,56,2025-11-29T23:15:36,arbitrum
0xcd415c03dfa85b02646c7e2977f22a480c4354f1,50.0,23,2024-11-12T05:50:34,arbitrum
0x58095979b412a366687ca05cbe85ff56241be21f,16.428229828090142,25,2025-11-06T01:28:47,arbitrum
0x6f147d6e8e2fb3fbd857728eff1dac85768bb46a,2.320825365461188,948,2025-11-30T09:24:03,arbitrum
0x9e8b306eea4d50090ac0af1eeac79fcd531eb159,0.85,24,2025-09-16T23:30:21,arbitrum
0x750a9e546d348e323b8c0f98cf71ea806f37112b,0.7583733119416739,42,2025-11-15T08:48:24,arbitrum
0xfe653db3bded62df08d27b2f3acabf7feb7fe761,0.000261303597557498,44,2025-09-21T00:23:59,arbitrum
0x01996f2bcceb5a43a79e7645f334fa8feef64470,2.6e-17,52,2026-01-21T23:50:15,arbitrum
0x28e90b865292593b32fda5d61a9b34076ecfb05f,2.3e-17,65,2025-12-23T00:32:28,arbitrum
0x92d4ee32bc0f81dbb9923073395a2be7febbc3e5,1.7e-17,34,2025-08-23T02:40:26,arbitrum
0x00000000c868e634590a981dd3bd007dca5c2e43,1e-17,20,2025-04-23T14:21:47,arbitrum
0x00000000cfe3369bcdbc76071ba6e0a4e0fe98bd,8e-18,16,2025-01-01T00:27:42,arbitrum
0x85cd07ea01423b1e937929b44e4ad8c40bbb5e71,6e-18,61,2025-05-30T07:37:45,arbitrum
0x00c600b30fb0400701010f4b080409018b9006e0,6e-18,32,2025-11-29T23:51:07,arbitrum
0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,1e-18,54,2025-11-29T23:40:00,arbitrum
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,1e-18,106,2025-11-09T19:54:11,arbitrum
0x6a000f20005980200259b80c5102003040001068,1e-18,71,2026-02-05T23:49:12,arbitrum
0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,1e-18,32,2025-01-22T03:52:52,arbitrum
0xc7d3ab410d49b664d03fe5b1038852ac852b1b29,1e-18,30,2025-05-09T06:39:40,arbitrum
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,1e-18,21,2026-01-28T23:27:24,arbitrum
0x1111111254eeb25477b68fb85ed929f73a960582,1e-18,16,2025-09-02T07:29:21,arbitrum
